Day,Volume (In Mn.),Value (In Cr.)
01-May-21,86.239,18140.21
02-May-21,79.373,13692.47
03-May-21,87.717,20191.07
04-May-21,89.311,20005.02
05-May-21,87.704,19438.15
06-May-21,85.35,18425.68
07-May-21,86.312,18247.77
08-May-21,83.45,16365.41
09-May-21,79.403,13425.59
10-May-21,84.917,18772.21
11-May-21,90.009,18267.37
12-May-21,85.768,17402.93
13-May-21,85.17,16038.79
14-May-21,81.167,14038.22
15-May-21,80.525,14824.99
16-May-21,71.283,10804.95
17-May-21,80.015,15977.6
18-May-21,80.301,15314.82
19-May-21,80.303,15542.35
20-May-21,79.342,15265.44
21-May-21,80.055,14967.99
22-May-21,76.95,13312.11
23-May-21,75.608,11237.42
24-May-21,80.03,15851.67
25-May-21,79.933,15027.36
26-May-21,78.638,12817.62
27-May-21,77.533,9669.18
28-May-21,80.227,21033.64
29-May-21,79.303,14114.81
30-May-21,76.966,11414.94
31-May-21,90.661,20732.78
01-Jun-21,97.807,21837.51
02-Jun-21,98.137,20668.35
03-Jun-21,92.8,19629.84
04-Jun-21,90.824,18987.07
05-Jun-21,92.12,18465.68
06-Jun-21,85.062,13881.64
07-Jun-21,95.853,20566.61
08-Jun-21,95.949,19555.25
09-Jun-21,95.932,19616.4
10-Jun-21,96.068,19826.78
11-Jun-21,94.841,19013.39
12-Jun-21,91.484,16646.22
13-Jun-21,85.165,12899.97
14-Jun-21,97.372,20359.99
15-Jun-21,96.859,19631.73
16-Jun-21,95.888,19341.99
17-Jun-21,91.454,17975.02
18-Jun-21,96.815,18847.37
19-Jun-21,92.337,16946.72
20-Jun-21,86.158,12949.17
21-Jun-21,96.774,19694.06
22-Jun-21,93.782,18529.74
23-Jun-21,88.608,16920.82
24-Jun-21,90.121,17171.85
25-Jun-21,93.525,17648.46
26-Jun-21,92.318,15638.86
27-Jun-21,85.353,11945.99
28-Jun-21,95.751,19199.12
29-Jun-21,97.164,19122.24
30-Jun-21,105.195,23855.32
01-Jul-21,105.235,23416.77
02-Jul-21,108.15,22773.32
03-Jul-21,104.452,20784
04-Jul-21,97.948,16400.08
05-Jul-21,109.22,23601.76
06-Jul-21,107.724,21426.67
07-Jul-21,110.038,23158.49
08-Jul-21,108.632,19593.6
09-Jul-21,110.288,22376.23
10-Jul-21,105.33,17381.76
11-Jul-21,98.862,14528.9
12-Jul-21,106.977,17865.05
13-Jul-21,105.496,26954.63
14-Jul-21,106.977,19870.94
15-Jul-21,106.823,21013.1
16-Jul-21,106.786,21440.28
17-Jul-21,103.017,18400.77
18-Jul-21,91.512,12743.31
19-Jul-21,104.952,20635.1
20-Jul-21,107.812,20476.24
21-Jul-21,95.491,15421.19
22-Jul-21,94.738,15711.85
23-Jul-21,104.729,19889.5
24-Jul-21,97.807,15607.17
25-Jul-21,96.795,12927.13
26-Jul-21,105.106,19885.25
27-Jul-21,104.066,19262.96
28-Jul-21,105.626,19325.52
29-Jul-21,104.444,19154.18
30-Jul-21,111.752,21272.89
31-Jul-21,121.03,22584.56
01-Aug-21,113.983,17991.95
02-Aug-21,120.232,25029.23
03-Aug-21,120.077,23649.82
04-Aug-21,119.128,24030.66
05-Aug-21,118.341,23718.76
06-Aug-21,110.522,21095.72
07-Aug-21,122.245,22910.2
08-Aug-21,112.774,16658.61
09-Aug-21,123.51,24086.79
10-Aug-21,124.703,24240.48
11-Aug-21,121.833,23627.85
12-Aug-21,118.733,22704.03
13-Aug-21,115.284,20953.57
14-Aug-21,114.781,19317.55
15-Aug-21,106.292,14679.03
16-Aug-21,113.705,21637.92
17-Aug-21,114.532,21311.21
18-Aug-21,114.179,21660.34
19-Aug-21,114.87,20696.02
20-Aug-21,111.508,18706.14
21-Aug-21,117.35,19530.45
22-Aug-21,106.053,13242.53
23-Aug-21,108.596,19805.16
24-Aug-21,109.723,19853.25
25-Aug-21,113.974,20927.52
26-Aug-21,111.396,19824.58
27-Aug-21,110.601,19367.36
28-Aug-21,110.81,18119.46
29-Aug-21,106.733,14334.35
30-Aug-21,109.165,19281.64
31-Aug-21,119.913,26124.77
01-Sep-21,126.106,27148.4
02-Sep-21,127.666,26154.15
03-Sep-21,124.5,23910.41
04-Sep-21,123.738,23834.31
05-Sep-21,108.895,16861.66
06-Sep-21,122.117,24922.42
07-Sep-21,113.979,21864.83
08-Sep-21,126.405,24634.77
09-Sep-21,128.419,24770.65
10-Sep-21,120.937,21030.37
11-Sep-21,117.88,20129.85
12-Sep-21,113.616,15950.87
13-Sep-21,120.556,23212.04
14-Sep-21,121.427,22629.21
15-Sep-21,123.998,23442.74
16-Sep-21,120.165,22094.58
17-Sep-21,117.223,19888.28
18-Sep-21,123.849,20854.06
19-Sep-21,118.192,15698.53
20-Sep-21,125.269,23232.53
21-Sep-21,123.081,22157.2
22-Sep-21,123.79,21821.81
23-Sep-21,123.223,21377.26
24-Sep-21,123.665,20872.26
25-Sep-21,120.495,19085.04
26-Sep-21,116.82,14906.16
27-Sep-21,119.904,20756.07
28-Sep-21,120.882,21099.09
29-Sep-21,122.377,21981.12
30-Sep-21,135.122,28327.61
01-Oct-21,137.77,28370.06
02-Oct-21,139.113,25337.11
03-Oct-21,137.267,21845.73
04-Oct-21,139.385,29292.41
05-Oct-21,142.994,29189.41
06-Oct-21,137.162,26288.98
07-Oct-21,144.68,28676.31
08-Oct-21,142.183,27623.49
09-Oct-21,134.63,24747.41
10-Oct-21,135.989,21201.45
11-Oct-21,137.829,28260.91
12-Oct-21,138.867,27223.76
13-Oct-21,137.647,26037.62
14-Oct-21,133.418,24029.6
15-Oct-21,126.871,18158.34
16-Oct-21,128.528,22054.06
17-Oct-21,118.511,16615.55
18-Oct-21,134.786,25795.4
19-Oct-21,130.954,23136.67
20-Oct-21,134.832,24614.57
21-Oct-21,133.033,24809.26
22-Oct-21,136.07,24402.71
23-Oct-21,134.399,21969.69
24-Oct-21,129.421,16990.59
25-Oct-21,133.198,25923.01
26-Oct-21,135.028,25081.49
27-Oct-21,134.127,25168.12
28-Oct-21,136.127,26359.34
29-Oct-21,139.184,27747.43
30-Oct-21,147.709,29919.39
31-Oct-21,146.932,24537.12
01-Nov-21,158.765,36035.24
02-Nov-21,164.375,34915.78
03-Nov-21,164.769,34613.47
04-Nov-21,143.481,23307.44
05-Nov-21,132.601,22719.01
06-Nov-21,136.253,24416.19
07-Nov-21,130.927,20543.84
08-Nov-21,142.344,28222.58
09-Nov-21,137.906,27462.69
10-Nov-21,140.376,27572.23
11-Nov-21,136.969,26145.08
12-Nov-21,136.332,25519.53
13-Nov-21,137.709,23325.29
14-Nov-21,134.494,18867.22
15-Nov-21,137.307,27088.45
16-Nov-21,138.159,27011.12
17-Nov-21,139.378,25755.18
18-Nov-21,134.821,25291.94
19-Nov-21,133.907,21545.81
20-Nov-21,138.715,24225.89
21-Nov-21,131.39,18070.98
22-Nov-21,133.85,25248.75
23-Nov-21,138.853,25616.77
24-Nov-21,137.403,25221.2
25-Nov-21,139.249,25459.92
26-Nov-21,137.568,25509.28
27-Nov-21,134.241,22251.27
28-Nov-21,129.628,17817.14
29-Nov-21,136.941,26386.44
30-Nov-21,147.769,32270.36
01-Dec-21,153.104,33487.99
02-Dec-21,152.43,31446.32
03-Dec-21,148.012,28800.98
04-Dec-21,154.254,29534.27
05-Dec-21,147.836,23634.62
06-Dec-21,148.874,30143.74
07-Dec-21,153.597,30111.47
08-Dec-21,151.003,28889.73
09-Dec-21,145.273,27977.02
10-Dec-21,138.276,25540.08
11-Dec-21,145.098,25827.58
12-Dec-21,139.211,20023.23
13-Dec-21,140.712,26943.56
14-Dec-21,148.481,28016.55
15-Dec-21,151.254,28838.73
16-Dec-21,145.696,26447.76
17-Dec-21,146.115,24999.17
18-Dec-21,145.123,24668.99
19-Dec-21,140.214,19087.16
20-Dec-21,148.936,29184.65
21-Dec-21,146.781,27086.37
22-Dec-21,148.994,26892.86
23-Dec-21,149.464,26454.72
24-Dec-21,149.12,25817.61
25-Dec-21,144.892,22122.87
26-Dec-21,135.726,17623.74
27-Dec-21,143.637,26037.07
28-Dec-21,144.559,26113.2
29-Dec-21,142.078,25271.47
30-Dec-21,149.152,27540.86
31-Dec-21,168.397,32283.86
01-Jan-22,158.527,27278.48
02-Jan-22,153.166,24750.74
03-Jan-22,161.487,32979.67
04-Jan-22,159.501,32214.37
05-Jan-22,159.171,31730.45
06-Jan-22,158.944,30771.67
07-Jan-22,162.133,30569.5
08-Jan-22,154.707,26520.13
09-Jan-22,121.296,18265.68
10-Jan-22,165.053,33273.67
11-Jan-22,156.323,30052.59
12-Jan-22,159.055,30181.55
13-Jan-22,156.506,28747.57
14-Jan-22,144.509,23852.4
15-Jan-22,137.8,21970.51
16-Jan-22,131.122,18000.91
17-Jan-22,148.762,27641.24
18-Jan-22,146.503,26732.97
19-Jan-22,150.162,27400.76
20-Jan-22,145.93,27092.83
21-Jan-22,147.74,26652.65
22-Jan-22,142.239,23272.13
23-Jan-22,131.735,17525.56
24-Jan-22,145.03,28414.48
25-Jan-22,146.012,27920.07
26-Jan-22,140.428,21232.52
27-Jan-22,143.76,27360.06
28-Jan-22,145.486,26942.28
29-Jan-22,139.055,24872.5
30-Jan-22,143.784,21176.51
31-Jan-22,161.23,36596.64
01-Feb-22,172.727,38167.32
02-Feb-22,166.646,34757.09
03-Feb-22,164.671,33265.3
04-Feb-22,162.284,32036.03
05-Feb-22,165.522,31339.7
06-Feb-22,154.93,23445.48
